#,Years,Price,Model,Mileage,Condition,Usage Type,Owner#,Location
285,2019,27575,Prius LE AWD-e,15920,"Accident check
No issues reported",Personal,1.0,MO
286,2008,5999,Prius Touring FWD,145094,"Accident check
1Accident reported",Personal,2.0,OH
287,2010,8499,Prius,130606,"Accident check
No issues reported",Personal,1.0,HI
288,2004,4499,Prius FWD,198457,"Accident check
No issues reported",Personal,6.0,CA
290,2005,6950,Prius FWD,115015,"Accident check
No issues reported",Commercial,2.0,CA
291,2015,15995,Prius Four,108331,"Accident check
No issues reported",Personal,1.0,CA
293,2010,6488,Prius,178832,"Accident check
2Accidents reported",Personal,3.0,MN
294,2017,24999,Prius Three FWD,39455,"Accident check
No issues reported",Personal,1.0,MI
295,2010,8995,Prius,137658,"Accident check
No issues reported",Personal,2.0,OH
296,2016,17337,Prius Four Touring FWD,106159,"Accident check
No issues reported",Personal,2.0,OH
297,2010,8391,Prius,128625,"Accident check
3Accidents reported",Personal,1.0,NJ
298,2019,25995,Prius LE AWD-e,39054,"Accident check
No issues reported",Personal,1.0,WI
299,2015,12999,Prius Persona Series,144364,"Accident check
1Accident reported",Personal,2.0,CA
300,2010,7795,Prius,144504,"Accident check
No issues reported",Personal,4.0,HI
301,2015,17586,Prius Persona Series,77412,"Accident check
No issues reported",Commercial,2.0,CO
302,2017,21978,Prius Two FWD,36801,"Accident check
No issues reported",Personal,1.0,UT
303,2015,12444,Prius Persona Series,141158,"Accident check
1Accident reported",Personal,2.0,CA
304,2018,21490,Prius Two FWD,56003,"Accident check
2Accidents reported",Commercial,2.0,IL
305,2015,17500,Prius Four,62076,"Accident check
3Accidents reported",Personal,1.0,VA
306,2010,10880,Prius Four,114826,"Accident check
No issues reported",Personal,2.0,MD
307,2017,21903,Prius Two Eco FWD,51283,"Accident check
No issues reported",Personal,1.0,NC
309,2019,22900,Prius LE FWD,86068,"Accident check
No issues reported",Commercial,2.0,CA
310,2016,15495,Prius Two FWD,121588,"Accident check
No issues reported",Personal,1.0,OH
311,2011,6995,Prius Four,161470,"Accident check
1Accident reported",Personal,2.0,TX
312,2019,23999,Prius L Eco FWD,42472,"Accident check
1Accident reported",Personal,1.0,TX
313,2015,15900,Prius Five,122687,"Accident check
1Accident reported",Personal,4.0,CO
314,2017,21698,Prius Two FWD,51227,"Accident check
No issues reported",Personal,1.0,CA
315,2015,13999,Prius Persona Series,123914,"Accident check
No issues reported",Personal,3.0,CA
316,2017,25500,Prius Three FWD,28924,"Accident check
No issues reported",Personal,1.0,CA
317,2015,14994,Prius Four,110876,"Accident check
No issues reported",Personal,1.0,MD
318,2010,12493,Prius,53117,"Accident check
No issues reported",Personal,1.0,IA
319,2007,7499,Prius,137670,"Accident check
1Accident reported",Personal,1.0,WA
320,2010,9497,Prius,113277,"Accident check
No issues reported",Personal,3.0,GA
321,2012,9480,Prius Four,153657,"Accident check
No issues reported",Commercial,3.0,AZ
322,2010,6995,Prius,161172,"Accident check
No issues reported",Commercial,3.0,FL
323,2019,24732,Prius LE FWD,53309,"Accident check
No issues reported",Personal,2.0,SC
324,2010,6366,Prius,165899,"Accident check
No issues reported",Commercial,2.0,OK
325,2012,15497,Prius Four,46973,"Accident check
1Accident reported",Personal,1.0,VA
326,2013,13687,Prius Persona Series SE,96854,"Accident check
No issues reported",Personal,2.0,CO
327,2019,25400,Prius LE FWD,63224,"Accident check
No issues reported",Personal,1.0,CA
328,2010,8495,Prius,140393,"Accident check
No issues reported",Personal,1.0,MA
329,2018,24499,Prius Two FWD,33120,"Accident check
No issues reported",Personal,1.0,CA
330,2010,6990,Prius,173379,"Accident check
No issues reported",Personal,3.0,PA
331,2021,25995,Prius L Eco FWD,47686,"Accident check
No issues reported",Personal,1.0,TX
332,2018,26495,Prius Two FWD,23587,"Accident check
No issues reported",Personal,1.0,CA
333,2010,7995,Prius,147833,"Accident check
No issues reported",Commercial,5.0,CA
334,2009,5995,Prius Touring FWD,175267,"Accident check
No issues reported",Personal,3.0,OH
335,2015,18499,Prius Persona Series,65043,"Accident check
No issues reported",Personal,2.0,TX
336,2009,8450,Prius,106640,"Accident check
No issues reported",Personal,3.0,MN
337,2010,6495,Prius,184161,"Accident check
No issues reported",Personal,1.0,PA
338,2012,7995,Prius,162293,"Accident check
1Accident reported",Personal,1.0,TX
339,2015,15828,Prius Two,106610,"Accident check
No issues reported",Personal,3.0,OR
340,2010,10337,Prius,121761,"Accident check
No issues reported",Personal,2.0,OH
341,2019,25550,Prius L Eco FWD,36781,"Accident check
No issues reported",Personal,1.0,PA
342,2008,5495,Prius Touring FWD,139425,"Accident check
1Accident reported",Personal,2.0,NJ
343,2007,4799,Prius Touring FWD,201200,"Accident check
No issues reported",Personal,2.0,CA
